PASSENGERS,FREIGHT,MAIL,DISTANCE,CARRIER_NAME,ORIGIN_AIRPORT_ID,ORIGIN_CITY_NAME,DEST,DEST_CITY_NAME,MONTH,CLASS
85.00,0.00,0.00,1006.00,Delta Air Lines Inc.,11977,"Green Bay, WI",MSY,"New Orleans, LA",9,L
85.00,0.00,0.00,1204.00,Southwest Airlines Co.,14027,"West Palm Beach/Palm Beach, FL",MKE,"Milwaukee, WI",10,F
85.00,0.00,0.00,1471.00,Alaska Airlines Inc.,11884,"Spokane, WA",MKE,"Milwaukee, WI",9,F
85.00,1298.00,0.00,1778.00,Southwest Airlines Co.,14893,"Sacramento, CA",MKE,"Milwaukee, WI",3,F
85.00,12588.00,0.00,318.00,United Air Lines Inc.,13342,"Milwaukee, WI",CVG,"Cincinnati, OH",7,L
86.00,0.00,0.00,149.00,Allegiant Air,13485,"Madison, WI",CID,"Cedar Rapids/Iowa City, IA",2,L
86.00,0.00,0.00,903.00,Southwest Airlines Co.,13495,"New Orleans, LA",MKE,"Milwaukee, WI",7,F
86.00,13090.00,0.00,669.00,United Air Lines Inc.,10397,"Atlanta, GA",MKE,"Milwaukee, WI",9,L
87.00,0.00,0.00,173.00,Piedmont Airlines,11977,"Green Bay, WI",ORD,"Chicago, IL",8,F
87.00,0.00,0.00,1455.00,Sun Country Airlines d/b/a MN Airlines,10590,"Bullhead City, AZ",MSN,"Madison, WI",9,L
87.00,13205.00,0.00,1460.00,United Air Lines Inc.,14107,"Phoenix, AZ",MKE,"Milwaukee, WI",3,L
88.00,0.00,0.00,149.00,Allegiant Air,11003,"Cedar Rapids/Iowa City, IA",MSN,"Madison, WI",2,L
88.00,0.00,0.00,242.00,Delta Air Lines Inc.,13485,"Madison, WI",LAN,"Lansing, MI",2,L
88.00,0.00,0.00,651.00,Delta Air Lines Inc.,11057,"Charlotte, NC",MKE,"Milwaukee, WI",1,L
88.00,0.00,0.00,1471.00,Sun Country Airlines d/b/a MN Airlines,10590,"Bullhead City, AZ",CWA,"Mosinee, WI",9,L
88.00,0.00,0.00,1471.00,Sun Country Airlines d/b/a MN Airlines,11203,"Mosinee, WI",IFP,"Bullhead City, AZ",8,L
88.00,0.00,0.00,1747.00,Southwest Airlines Co.,12954,"Long Beach, CA",MKE,"Milwaukee, WI",8,F
88.00,12873.00,0.00,1258.00,United Air Lines Inc.,13303,"Miami, FL",MKE,"Milwaukee, WI",9,L
89.00,0.00,0.00,173.00,Piedmont Airlines,13930,"Chicago, IL",GRB,"Green Bay, WI",8,F
89.00,0.00,0.00,747.00,Southwest Airlines Co.,13342,"Milwaukee, WI",ORF,"Norfolk, VA",8,F
89.00,0.00,0.00,903.00,Southwest Airlines Co.,13495,"New Orleans, LA",MKE,"Milwaukee, WI",9,F
89.00,0.00,0.00,1455.00,Sun Country Airlines d/b/a MN Airlines,13485,"Madison, WI",IFP,"Bullhead City, AZ",9,L
89.00,25.00,0.00,160.00,Piedmont Airlines,10408,"Appleton, WI",ORD,"Chicago, IL",7,F
90.00,0.00,0.00,252.00,Breeze Aviation Group DBA  Breeze,11977,"Green Bay, WI",MSP,"Minneapolis, MN",10,L
90.00,0.00,0.00,252.00,Breeze Aviation Group DBA  Breeze,13487,"Minneapolis, MN",GRB,"Green Bay, WI",10,L
90.00,0.00,0.00,925.00,Southwest Airlines Co.,13342,"Milwaukee, WI",JAX,"Jacksonville, FL",3,F
91.00,12688.00,0.00,431.00,United Air Lines Inc.,13342,"Milwaukee, WI",PIT,"Pittsburgh, PA",6,L
92.00,0.00,0.00,173.00,GoJet Airlines LLC d/b/a United Express,13930,"Chicago, IL",GRB,"Green Bay, WI",1,F
92.00,0.00,0.00,634.00,Southwest Airlines Co.,11996,"Greer, SC",MKE,"Milwaukee, WI",8,F
92.00,0.00,0.00,1389.00,Sun Country Airlines d/b/a MN Airlines,10590,"Bullhead City, AZ",EAU,"Eau Claire, WI",9,L
92.00,0.00,0.00,1389.00,Sun Country Airlines d/b/a MN Airlines,11471,"Eau Claire, WI",IFP,"Bullhead City, AZ",8,L
92.00,3.00,0.00,1004.00,Southwest Airlines Co.,13342,"Milwaukee, WI",HOU,"Houston, TX",10,F
92.00,345.00,0.00,1243.00,Southwest Airlines Co.,11697,"Fort Lauderdale, FL",MKE,"Milwaukee, WI",8,F
92.00,13149.00,0.00,1077.00,United Air Lines Inc.,14112,"St. Petersburg, FL",MKE,"Milwaukee, WI",5,L
93.00,0.00,0.00,74.00,Sun Country Airlines d/b/a MN Airlines,13485,"Madison, WI",MKE,"Milwaukee, WI",4,F
93.00,0.00,0.00,812.00,Endeavor Air Inc.,13485,"Madison, WI",LGA,"New York, NY",4,F
93.00,0.00,0.00,1665.00,"Global Crossing Airlines, Inc.",14262,"Palm Springs, CA",MKE,"Milwaukee, WI",5,L
93.00,0.00,0.00,1747.00,Southwest Airlines Co.,12954,"Long Beach, CA",MKE,"Milwaukee, WI",7,F
93.00,200.00,0.00,108.00,Envoy Air,13930,"Chicago, IL",MSN,"Madison, WI",5,F
94.00,0.00,0.00,160.00,Piedmont Airlines,13930,"Chicago, IL",ATW,"Appleton, WI",7,F
94.00,0.00,0.00,690.00,Air Wisconsin Airlines Corp,14100,"Philadelphia, PA",MKE,"Milwaukee, WI",8,F
94.00,0.00,0.00,876.00,Southwest Airlines Co.,13342,"Milwaukee, WI",ECP,"Panama City, FL",1,F
94.00,0.00,0.00,2119.00,Southwest Airlines Co.,14843,"San Juan, PR",MKE,"Milwaukee, WI",3,F
95.00,0.00,0.00,1377.00,Sun Country Airlines d/b/a MN Airlines,10590,"Bullhead City, AZ",LSE,"La Crosse, WI",8,L
95.00,0.00,0.00,1377.00,Sun Country Airlines d/b/a MN Airlines,13076,"La Crosse, WI",IFP,"Bullhead City, AZ",8,L
96.00,0.00,0.00,252.00,Delta Air Lines Inc.,13487,"Minneapolis, MN",GRB,"Green Bay, WI",10,F
96.00,0.00,0.00,966.00,SkyWest Airlines Inc.,13485,"Madison, WI",IAH,"Houston, TX",8,F
96.00,0.00,0.00,1113.00,Southwest Airlines Co.,14986,"Sarasota/Bradenton, FL",MKE,"Milwaukee, WI",7,F
97.00,0.00,0.00,690.00,Air Wisconsin Airlines Corp,13342,"Milwaukee, WI",PHL,"Philadelphia, PA",8,F
97.00,0.00,0.00,861.00,Southwest Airlines Co.,13342,"Milwaukee, WI",PNS,"Pensacola, FL",4,F
97.00,0.00,0.00,1142.00,Southwest Airlines Co.,13342,"Milwaukee, WI",ABQ,"Albuquerque, NM",9,F
97.00,0.00,0.00,1455.00,Sun Country Airlines d/b/a MN Airlines,10590,"Bullhead City, AZ",MSN,"Madison, WI",7,L
97.00,0.00,0.00,1455.00,Sun Country Airlines d/b/a MN Airlines,13485,"Madison, WI",IFP,"Bullhead City, AZ",7,L
98.00,0.00,0.00,238.00,Delta Air Lines Inc.,13342,"Milwaukee, WI",IND,"Indianapolis, IN",1,L
98.00,0.00,0.00,1594.00,Sun Country Airlines d/b/a MN Airlines,14570,"Reno, NV",MSN,"Madison, WI",2,L
98.00,272.00,0.00,903.00,Southwest Airlines Co.,13342,"Milwaukee, WI",MSY,"New Orleans, LA",7,F
99.00,0.00,0.00,932.00,United Air Lines Inc.,13485,"Madison, WI",BOS,"Boston, MA",8,F
